,Plain top-3 (no overlay),Top-3 + abs-mom overlay,Top-3 + overlay + band(4),Top-2 + overlay,Top-4 + overlay,Top-3 + overlay + band(5),SPY buy & hold,Equal-weight sectors
2017-10-09,1.97663656873739,1.9347027437498494,1.9254342729593001,1.815569976517766,1.9864250952196936,1.9858804347012167,2.318009538792025,2.219410139408799
2017-10-10,1.981317494216628,1.939284364626041,1.9299939449240109,1.8206233025867453,1.9902932001392748,1.990583250824593,2.324125183509616,2.226046487222325
2017-10-11,1.981893850764266,1.9398484939210918,1.9305553716768185,1.8219195219239726,1.9909852982156568,1.9911623027400889,2.327776040982739,2.2300542615392973
2017-10-12,1.9786975087638539,1.9367199614756407,1.9274418269144529,1.8127416149626667,1.9895263342688767,1.9879510128440983,2.324307925709406,2.230530710326686
2017-10-13,1.9809468869438214,1.9389216196890644,1.9296329377686465,1.817471459818048,1.9936307266191153,1.9902109103834293,2.3271375595098247,2.2322031181563
2017-10-16,1.9883692110818956,1.946186481172481,1.9368629958918704,1.8266714038835483,1.998873437173449,1.9976679454899018,2.3302408282272062,2.2328595085278087
2017-10-17,1.9833644775781665,1.9412879217738828,1.9319879037441707,1.822179707169983,1.9938144466891168,1.9926398070333224,2.331883594494432,2.2343069212748823
2017-10-18,1.9888047336487995,1.9466127642426623,1.9372872367919058,1.82928419433382,1.9967043088202092,1.9981055048056429,2.334166436843645,2.2326682260786535
2017-10-19,1.9891590367555465,1.9469595509021747,1.9376323621202216,1.8272541946093084,1.998865280658328,1.9984614648332832,2.3348042804729308,2.23538337481689
2017-10-20,2.008591515950671,1.9659797751615513,1.9565614672691574,1.8441632504030563,2.017798940866415,2.0179848212467424,2.3468534655519506,2.244390684719185
2017-10-23,2.0006916967806014,1.9582475485776707,1.9488662830249697,1.8390877650973168,2.0109050069475516,2.010048058072549,2.337725604295059,2.2372294767451675
2017-10-24,2.0110858046262208,1.9684211481587999,1.9589911445191464,1.8482227396497328,2.021570845019899,2.020490774621082,2.3418331578067515,2.2394744940847984
2017-10-25,1.9968499592263276,1.954487312475306,1.9451240608725995,1.8377057883380874,2.0081850835851687,2.0061883543895584,2.330240828227207,2.2286149556608272
2017-10-26,2.004281715138124,1.9617614056398458,1.952363306451255,1.8466676616702322,2.0204958283790697,2.0136548653780397,2.333253204227416,2.2321252126902946
2017-10-27,2.022082408419315,1.9791844618943237,1.9697028950575382,1.8707705173823763,2.03122655975337,2.031538804727505,2.352330469335719,2.2407489940659477
2017-10-30,2.0162825910779185,1.973507686152582,1.9640533147236268,1.869086701508665,2.024449634280127,2.025711864173391,2.343567614095686,2.2350036652382346
2017-10-31,2.014818274723111,1.9720744348841541,1.962626929650825,1.8697991294287375,2.0247238064145576,2.0242406998505116,2.347218471568809,2.2382539595676487
2017-11-01,2.0155591309029313,1.9727995739949507,1.9633485948787788,1.8706818734986999,2.0277701026159196,2.024985020691126,2.350322218668913,2.24201501570049
2017-11-02,2.0260408886159103,1.983058963974554,1.9735588357802294,1.8848273141547147,2.0319811016770757,2.035515797007169,2.3512351323633283,2.242710336444182
2017-11-03,2.027940573933116,1.984918347967337,1.9754093121274936,1.8800461988723696,2.033155378044649,2.0374243663229428,2.3590849144480392,2.2474922436621583
2017-11-06,2.029052817962306,1.9860069960319469,1.9764927448675165,1.8795149717588695,2.0318488289745185,2.0385418118317005,2.3627357719211624,2.253217098737231
2017-11-07,2.021063325777868,1.978186998823116,1.9687102104761371,1.867947775639443,2.026342001158945,2.030514956281614,2.361093484036659,2.25691879964634
2017-11-08,2.020388495172411,1.9775264845714862,1.9680528605126997,1.8618104752272835,2.026348179528669,2.029836969788138,2.3651090286048264,2.260897774633392
2017-11-09,2.0042250950022575,1.9617059866852722,1.9523081529891262,1.8468845462348178,2.0098763254055556,2.013597980454526,2.356528915564584,2.2549166515340353
2017-11-10,2.0031440356439147,1.960647861716918,1.9512550971200917,1.8453796731608167,2.008289418818564,2.0125118654537015,2.3557989035308666,2.2535503206621454
2017-11-13,2.0016872047408754,1.9592219370983677,1.9498360035978008,1.843648882585268,2.0097652549803424,2.011048221588779,2.3579898963974624,2.2585353778393165
2017-11-14,1.998264021038839,1.955871375338337,1.9465014931841103,1.8408142752552794,2.0026381643263584,2.0076090291515953,2.352513052074602,2.2544132650973334
2017-11-15,1.9912610881006096,1.9490170077807527,1.9396799624567318,1.8380463813411771,1.994357275171808,2.000573346554446,2.340738299217082,2.240449088755947
2017-11-16,2.0070992924949635,1.9645192088340302,1.9551078979939678,1.8470241123429036,2.01229998571162,2.01648561931364,2.3606364690762764,2.2550109328877346
2017-11-17,1.9983053517680378,1.9559118292469853,1.9465417532925111,1.840871809100225,2.00635836086445,2.007650553166564,2.353699122303259,2.249824016389005
2017-11-20,2.0069003613879577,1.9643244979981442,1.9549141199482487,1.849272242382965,2.0135227611643276,2.016285757892727,2.357715304715055,2.2504699889346176
2017-11-21,2.0208568832435656,1.977984935912888,1.968509115577242,1.8587495614480214,2.0267011976482943,2.0303075483057396,2.3731417123502356,2.2627697474743247
2017-11-22,2.0170456127580523,1.9742545205284325,1.9647965712823579,1.8552261694329482,2.022456062322385,2.0264784541726844,2.3710416122008127,2.260865974877754
2017-11-24,2.020633853957866,1.977766638134832,1.9682918635859799,1.8548746008148393,2.027734227071585,2.0300834760094757,2.376518934906395,2.265957880999681
2017-11-27,2.0212560005018507,1.9783755860034988,1.9688978942026027,1.8557406509303112,2.0252003800768064,2.0307085320611327,2.3753335025213684,2.263338953466589
2017-11-28,2.0508989021187305,2.0073896212581017,1.9977729335628016,1.8938860989770738,2.0531183612315695,2.060490060582755,2.3994296402267055,2.284010276749927
2017-11-29,2.0532656210640545,2.0097061308834037,2.000078345616723,1.9184182754583343,2.055674175106462,2.0628678476389553,2.397969297237456,2.289282442691304
2017-11-30,2.074142001606988,2.030139624503214,2.021080642438533,1.939164043655191,2.0747523769025276,2.084529480512103,2.418963122990855,2.3074138137336035
2017-12-01,2.0625594049021245,2.0188027495414396,2.016805777031253,1.9308978241600405,2.067193682582767,2.0801204120268664,2.4139428152456555,2.3035634516166383
2017-12-04,2.0546847594510025,2.0110951626226794,2.0125146538945122,1.9099242640923964,2.069202178390126,2.0756945754247944,2.411021810345342,2.3052778129966436
2017-12-05,2.042746368082308,1.9994100410872995,2.000602811599126,1.898065524759335,2.05741857769579,2.0634087784553157,2.402351282970648,2.2940917880128535
2017-12-06,2.0455807818367187,2.0021843234993075,2.0048753720236903,1.9077380354337736,2.0576601191076813,2.0678154695963125,2.4028070222437727,2.2916640751324073
2017-12-07,2.055668912653367,2.012058437273669,2.012384346549847,1.9153739714568256,2.066924806428776,2.0755601772737373,2.4103830099506127,2.297843838572087
