,XLB
2008-12-24,7.542862892150879
2008-12-26,7.635893821716309
2008-12-29,7.49806547164917
2008-12-30,7.7013654708862305
2008-12-31,7.835750102996826
2009-01-02,8.121753692626953
2009-01-05,8.138986587524414
2009-01-06,8.321610450744629
2009-01-07,8.128649711608887
2009-01-08,8.24236011505127
2009-01-09,8.042501449584961
2009-01-12,7.708259105682373
2009-01-13,7.749607563018799
2009-01-14,7.460161209106445
2009-01-15,7.680695056915283
2009-01-16,7.766837120056152
2009-01-20,7.329224109649658
2009-01-21,7.587655067443848
2009-01-22,7.4704999923706055
2009-01-23,7.584208965301514
2009-01-26,7.494617938995361
2009-01-27,7.549750804901123
2009-01-28,7.763391017913818
2009-01-29,7.553199291229248
2009-01-30,7.256857872009277
2009-02-02,7.153483867645264
2009-02-03,7.291313171386719
2009-02-04,7.380910396575928
2009-02-05,7.577315807342529
2009-02-06,7.804742336273193
2009-02-09,7.777172565460205
2009-02-10,7.429147243499756
2009-02-11,7.429147243499756
2009-02-12,7.553199291229248
2009-02-13,7.439485549926758
2009-02-17,7.115581035614014
2009-02-18,7.074232578277588
2009-02-19,7.001867771148682
2009-02-20,7.057005405426025
2009-02-23,6.6297221183776855
2009-02-24,6.839917182922363
2009-02-25,6.736542701721191
2009-02-26,6.743432521820068
2009-02-27,6.674520015716553
2009-03-02,6.230010032653809
2009-03-03,6.254130840301514
2009-03-04,6.471216201782227
2009-03-05,6.261023998260498
2009-03-06,6.340274333953857
2009-03-09,6.264467239379883
2009-03-10,6.61249303817749
2009-03-11,6.812349796295166
2009-03-12,6.981193542480469
2009-03-13,7.012210845947266
2009-03-16,7.1224751472473145
2009-03-17,7.184496879577637
2009-03-18,7.39469051361084
2009-03-19,7.463606357574463
2009-03-20,7.332215309143066
2009-03-23,7.765563488006592
2009-03-24,7.7343621253967285
2009-03-25,7.803698539733887
2009-03-26,8.115705490112305
2009-03-27,7.938901424407959
2009-03-30,7.6650285720825195
2009-03-31,7.69969367980957
2009-04-01,7.855700492858887
2009-04-02,8.150375366210938
2009-04-03,8.254378318786621
2009-04-06,8.108771324157715
2009-04-07,7.831434726715088
2009-04-08,7.921569347381592
2009-04-09,8.264777183532715
2009-04-13,8.372247695922852
2009-04-14,8.216245651245117
2009-04-15,8.410379409790039
2009-04-16,8.413848876953125
2009-04-17,8.476251602172852
2009-04-20,8.084505081176758
2009-04-21,8.247444152832031
2009-04-22,8.285577774047852
2009-04-23,8.306378364562988
2009-04-24,8.701591491699219
2009-04-27,8.510915756225586
2009-04-28,8.465851783752441
2009-04-29,8.656519889831543
2009-04-30,8.899195671081543
2009-05-01,8.91999626159668
2009-05-04,9.422679901123047
2009-05-05,9.367210388183594
2009-05-06,9.405344009399414
2009-05-07,9.0968017578125
2009-05-08,9.290943145751953
2009-05-11,9.155735969543457
2009-05-12,9.24587631225586
2009-05-13,8.847197532653809
2009-05-14,8.92346477508545
2009-05-15,8.954663276672363
2009-05-18,9.211204528808594
2009-05-19,9.318676948547363
2009-05-20,9.360276222229004
2009-05-21,9.15226936340332
2009-05-22,9.117602348327637
2009-05-26,9.336008071899414
2009-05-27,8.985868453979492
2009-05-28,9.145337104797363
2009-05-29,9.41921329498291
2009-06-01,9.706954002380371
2009-06-02,9.804025650024414
2009-06-03,9.46774673461914
2009-06-04,9.686150550842285
2009-06-05,9.547480583190918
2009-06-08,9.498943328857422
2009-06-09,9.66882038116455
2009-06-10,9.679220199584961
2009-06-11,9.814421653747559
2009-06-12,9.713883399963379
2009-06-15,9.388008117675781
2009-06-16,9.134939193725586
2009-06-17,9.030935287475586
2009-06-18,9.107202529907227
2009-06-19,9.085944175720215
2009-06-22,8.625896453857422
2009-06-23,8.737424850463867
2009-06-24,8.824551582336426
2009-06-25,9.012755393981934
2009-06-26,8.998810768127441
2009-06-29,9.078972816467285
2009-06-30,8.991842269897461
2009-07-01,9.012755393981934
2009-07-02,8.765301704406738
2009-07-06,8.695595741271973
2009-07-07,8.448151588439941
2009-07-08,8.455121040344238
2009-07-09,8.52133846282959
2009-07-10,8.47254467010498
2009-07-13,8.730451583862305
2009-07-14,8.796669006347656
2009-07-15,9.141704559326172
2009-07-16,9.228837966918945
2009-07-17,9.274144172668457
2009-07-20,9.472800254821777
2009-07-21,9.584322929382324
2009-07-22,9.612208366394043
2009-07-23,9.939820289611816
2009-07-24,10.019976615905762
2009-07-27,10.04089069366455
2009-07-28,9.957245826721191
2009-07-29,9.748132705688477
2009-07-30,10.044377326965332
2009-07-31,10.148930549621582
2009-08-03,10.507908821105957
2009-08-04,10.469572067260742
2009-08-05,10.553216934204102
2009-08-06,10.466083526611328
2009-08-07,10.528820037841797
2009-08-10,10.389412879943848
2009-08-11,10.36501407623291
2009-08-12,10.459115982055664
2009-08-13,10.650802612304688
2009-08-14,10.382441520690918
2009-08-17,9.988612174987793
2009-08-18,10.138477325439453
2009-08-19,10.27091121673584
2009-08-20,10.291827201843262
2009-08-21,10.563671112060547
2009-08-24,10.480027198791504
2009-08-25,10.42774772644043
2009-08-26,10.389412879943848
2009-08-27,10.462603569030762
2009-08-28,10.528820037841797
2009-08-31,10.389412879943848
2009-09-01,10.082714080810547
2009-09-02,10.176812171936035
2009-09-03,10.323190689086914
2009-09-04,10.466083526611328
2009-09-08,10.608978271484375
2009-09-09,10.657772064208984
2009-09-10,10.717020988464355
2009-09-11,10.730963706970215
2009-09-14,10.866886138916016
2009-09-15,11.107366561889648
2009-09-16,11.260714530944824
2009-09-17,11.208436965942383
2009-09-18,11.20248794555664
2009-09-21,11.090497016906738
2009-09-22,11.212985038757324
2009-09-23,11.034503936767578
2009-09-24,10.793024063110352
2009-09-25,10.688034057617188
2009-09-28,10.89101505279541
2009-09-29,10.901511192321777
2009-09-30,10.828021049499512
2009-10-01,10.404559135437012
2009-10-02,10.362560272216797
2009-10-05,10.53754711151123
2009-10-06,10.758020401000977
2009-10-07,10.761528015136719
2009-10-08,11.01350212097168
2009-10-09,11.024003028869629
2009-10-12,11.052002906799316
2009-10-13,11.111493110656738
2009-10-14,11.349470138549805
2009-10-15,11.37047004699707
2009-10-16,11.212985038757324
2009-10-19,11.384469032287598
2009-10-20,11.265480995178223
2009-10-21,11.132494926452637
2009-10-22,11.265480995178223
2009-10-23,11.041499137878418
2009-10-26,10.758020401000977
2009-10-27,10.670533180236816
2009-10-28,10.341562271118164
2009-10-29,10.6495361328125
2009-10-30,10.268068313598633
2009-11-02,10.359064102172852
2009-11-03,10.464055061340332
2009-11-04,10.464055061340332
2009-11-05,10.6495361328125
2009-11-06,10.74052619934082
2009-11-09,11.090497016906738
2009-11-10,11.104491233825684
2009-11-11,11.212985038757324
2009-11-12,11.160490989685059
2009-11-13,11.20248794555664
2009-11-16,11.433465957641602
2009-11-17,11.566452980041504
2009-11-18,11.566452980041504
2009-11-19,11.391469955444336
2009-11-20,11.352972984313965
2009-11-23,11.468461036682129
2009-11-24,11.45446491241455
2009-11-25,11.639946937561035
2009-11-27,11.321476936340332
2009-11-30,11.373968124389648
2009-12-01,11.59444808959961
2009-12-02,11.706440925598145
2009-12-03,11.5174560546875
2009-12-04,11.391469955444336
2009-12-07,11.40546703338623
2009-12-08,11.223483085632324
2009-12-09,11.363470077514648
2009-12-10,11.321476936340332
2009-12-11,11.352972984313965
2009-12-14,11.5174560546875
2009-12-15,11.40546703338623
2009-12-16,11.520957946777344
2009-12-17,11.265480995178223
2009-12-18,11.257387161254883
2009-12-21,11.422780990600586
2009-12-22,11.489644050598145
2009-12-23,11.665594100952148
2009-12-24,11.757087707519531
2009-12-28,11.767648696899414
2009-12-29,11.78524112701416
2009-12-30,11.771162986755371
2009-12-31,11.609292984008789
2010-01-04,11.971745491027832
2010-01-05,12.010457038879395
2010-01-06,12.214561462402344
2010-01-07,12.119547843933105
2010-01-08,12.288461685180664
2010-01-11,12.221601486206055
2010-01-12,11.989346504211426
2010-01-13,12.130107879638672
2010-01-14,11.982304573059082
2010-01-15,11.894331932067871
2010-01-19,12.084359169006348
2010-01-20,11.869697570800781
2010-01-21,11.355918884277344
2010-01-22,11.130701065063477
2010-01-25,11.229230880737305
2010-01-26,11.070879936218262
2010-01-27,10.975862503051758
2010-01-28,10.778799057006836
2010-01-29,10.606364250183105
2010-02-01,11.028650283813477
2010-02-02,11.063838958740234
2010-02-03,10.93715763092041
2010-02-04,10.528947830200195
2010-02-05,10.726012229919434
2010-02-08,10.553579330444336
2010-02-09,10.810473442077637
2010-02-10,10.736572265625
2010-02-11,10.919561386108398
2010-02-12,10.898444175720215
2010-02-16,11.172924995422363
2010-02-17,11.17996883392334
2010-02-18,11.299612045288086
2010-02-19,11.362958908081055
2010-02-22,11.313694953918457
2010-02-23,11.134217262268066
2010-02-24,11.106064796447754
2010-02-25,11.081436157226562
2010-02-26,11.084955215454102
2010-03-01,11.253866195678711
2010-03-02,11.348883628845215
2010-03-03,11.447410583496094
2010-03-04,11.524832725524902
2010-03-05,11.67263412475586
