,XLRE
2024-02-16,35.26521301269531
2024-02-20,35.21004867553711
2024-02-21,35.467525482177734
2024-02-22,35.559486389160156
2024-02-23,35.60545349121094
2024-02-26,35.20084762573242
2024-02-27,35.22843933105469
2024-02-28,35.67902374267578
2024-02-29,35.96409225463867
2024-03-01,36.359500885009766
2024-03-04,36.77329635620117
2024-03-05,36.3043212890625
2024-03-06,36.50662612915039
2024-03-07,36.50662612915039
2024-03-08,36.93882369995117
2024-03-11,36.754905700683594
2024-03-12,36.6629524230957
2024-03-13,36.43305969238281
2024-03-14,35.918113708496094
2024-03-15,35.899715423583984
2024-03-18,35.894161224365234
2024-03-19,35.894161224365234
2024-03-20,36.04229736328125
2024-03-21,36.18116760253906
2024-03-22,35.755287170410156
2024-03-25,35.616416931152344
2024-03-26,35.46828842163086
2024-03-27,36.366329193115234
2024-03-28,36.59778594970703
2024-04-01,35.95896911621094
2024-04-02,35.56086349487305
2024-04-03,35.57938003540039
2024-04-04,35.3016357421875
2024-04-05,35.53309631347656
2024-04-08,35.83860778808594
2024-04-09,36.29227066040039
2024-04-10,34.80168914794922
2024-04-11,34.838722229003906
2024-04-12,34.47765350341797
2024-04-15,33.87586212158203
2024-04-16,33.35740280151367
2024-04-17,33.07965850830078
2024-04-18,33.08891677856445
2024-04-19,33.218528747558594
2024-04-22,33.48701858520508
2024-04-23,33.792537689208984
2024-04-24,33.922157287597656
2024-04-25,33.72773742675781
2024-04-26,33.75551223754883
2024-04-29,34.13509750366211
2024-04-30,33.50553512573242
2024-05-01,33.52405548095703
2024-05-02,34.0054817199707
2024-05-03,34.27397155761719
2024-05-06,34.28322982788086
2024-05-07,34.64429473876953
2024-05-08,34.32025909423828
2024-05-09,35.134986877441406
2024-05-10,35.00537109375
2024-05-13,35.09795379638672
2024-05-14,35.347923278808594
2024-05-15,35.949710845947266
2024-05-16,35.8848991394043
2024-05-17,35.8848991394043
2024-05-20,35.66270446777344
2024-05-21,35.63492965698242
2024-05-22,35.32940673828125
2024-05-23,34.579490661621094
2024-05-24,34.579490661621094
2024-05-28,34.375816345214844
2024-05-29,34.05177307128906
2024-05-30,34.54246139526367
2024-05-31,35.22757339477539
2024-06-03,35.08869552612305
2024-06-04,35.42198944091797
2024-06-05,35.37569808959961
2024-06-06,35.43124771118164
2024-06-07,35.15350341796875
2024-06-10,35.32940673828125
2024-06-11,35.21831512451172
