,XLV
2003-03-14,17.275617599487305
2003-03-17,17.76435089111328
2003-03-18,17.95442008972168
2003-03-19,18.158056259155273
2003-03-20,18.137693405151367
2003-03-21,18.60870361328125
2003-03-24,18.084604263305664
2003-03-25,18.445356369018555
2003-03-26,18.302417755126953
2003-03-27,18.370485305786133
2003-03-28,18.397703170776367
2003-03-31,18.186702728271484
2003-04-01,18.43854331970215
2003-04-02,18.71080207824707
2003-04-03,18.66315460205078
2003-04-04,18.73802947998047
2003-04-07,18.57466697692871
2003-04-08,18.59508514404297
2003-04-09,18.35004997253418
2003-04-10,18.316022872924805
2003-04-11,18.227537155151367
2003-04-14,18.527023315429688
2003-04-15,18.411317825317383
2003-04-16,17.975704193115234
2003-04-17,18.152667999267578
2003-04-21,18.200315475463867
2003-04-22,18.50660514831543
2003-04-23,18.66315460205078
2003-04-24,18.77886390686035
2003-04-25,18.520219802856445
2003-04-28,18.66996192932129
2003-04-29,18.785663604736328
2003-04-30,18.785663604736328
2003-05-01,18.840120315551758
2003-05-02,19.125988006591797
2003-05-05,19.153213500976562
2003-05-06,19.187240600585938
2003-05-07,19.023897171020508
2003-05-08,18.955827713012695
2003-05-09,19.16682243347168
2003-05-12,19.357404708862305
2003-05-13,19.398242950439453
2003-05-14,19.36421775817871
2003-05-15,19.547983169555664
2003-05-16,19.500343322753906
2003-05-19,18.840120315551758
2003-05-20,18.60870361328125
2003-05-21,18.744834899902344
2003-05-22,18.955827713012695
2003-05-23,18.880956649780273
2003-05-27,19.153213500976562
2003-05-28,19.119184494018555
2003-05-29,18.962636947631836
2003-05-30,19.173641204833984
2003-06-02,19.023897171020508
2003-06-03,19.173641204833984
2003-06-04,19.507156372070312
2003-06-05,19.690916061401367
2003-06-06,19.867887496948242
2003-06-09,19.663692474365234
2003-06-10,19.81342887878418
2003-06-11,20.038036346435547
2003-06-12,20.078876495361328
2003-06-13,19.956375122070312
2003-06-16,20.5621395111084
2003-06-17,20.970523834228516
2003-06-18,20.91607666015625
2003-06-19,20.466848373413086
2003-06-20,20.614290237426758
2003-06-23,20.27299690246582
2003-06-24,20.286649703979492
2003-06-25,20.177431106567383
2003-06-26,20.464115142822266
2003-06-27,20.150131225585938
2003-06-30,20.020431518554688
2003-07-01,20.129657745361328
2003-07-02,20.320772171020508
2003-07-03,20.197906494140625
2003-07-07,20.341251373291016
2003-07-08,20.34807586669922
2003-07-09,20.225210189819336
2003-07-10,20.00678253173828
2003-07-11,20.23886489868164
2003-07-14,20.21837615966797
2003-07-15,20.14329719543457
2003-07-16,20.027267456054688
2003-07-17,19.897571563720703
2003-07-18,20.08186149597168
2003-07-21,19.76787567138672
2003-07-22,19.733741760253906
2003-07-23,19.8770809173584
2003-07-24,19.7200927734375
2003-07-25,19.8770809173584
2003-07-28,19.82931137084961
2003-07-29,19.740570068359375
2003-07-30,19.822479248046875
2003-07-31,19.7200927734375
2003-08-01,19.41975975036621
2003-08-04,19.453887939453125
2003-08-05,19.1330623626709
2003-08-06,19.119409561157227
